Time	Fz	Fpz	C3	C4	T5	T4	O1	O2	F7	F8	F3	F4	T3	T6	P3	P4
0.0000	24.6091	1.0039	4.0516	4.2794	-7.6830	-8.1735	-2.8078	30.5678	-298.1647	-2.2589	11.6410	-5.4834	-10.4258	-10.5613	-3.5089	2.9419
8.0002	-30.7640	-103.5459	-12.5341	-13.6861	-7.1587	-1.9773	-12.2688	13.0660	-57.6091	-58.4957	-37.3763	-39.7481	-7.5090	-1.4388	-8.4725	-4.7028
16.0005	-26.3708	-97.1476	-8.4559	-17.2141	-10.5040	-20.2141	-11.9869	-28.8621	-56.8294	-57.6363	-39.2710	-38.0182	-10.2954	-11.2990	-4.5012	-7.4430
24.0007	-30.2445	-97.2232	-8.3409	-19.0451	-6.1709	-11.2349	3.8814	27.9676	-46.4088	-45.6367	-37.4247	-38.8234	-5.1868	-3.8186	7.7990	-0.4100
32.0010	-36.6097	-102.2563	-9.3925	-17.9074	-4.5924	3.1891	13.3010	60.2913	-45.8896	-45.2958	-38.2559	-44.6699	-2.9292	8.3228	8.6506	3.1517
40.0012	-39.2645	-101.6578	-6.0950	-18.9876	-8.8666	-8.4416	9.5680	17.9996	-56.6348	-56.2116	-42.8019	-47.1231	-6.7735	6.8934	1.4310	-0.8616
48.0014	-21.0415	-81.6081	-2.3874	-16.7060	-9.1367	-10.5288	3.3973	8.7202	-51.4510	-42.8481	-29.4525	-28.7750	-5.3813	-5.6200	-3.4601	-5.4267
56.0017	-8.7550	-66.9142	-1.8568	-14.2154	-9.1082	-10.2554	-7.7858	-3.2258	-38.3920	-32.9383	-18.0773	-15.6329	-4.4882	-10.3844	-11.5681	-11.0793
64.0019	-10.1171	-59.4921	2.2286	-10.0273	-16.6944	4.3226	-15.1363	-27.1398	-41.0274	-35.1076	-24.9854	-19.1171	-6.3627	-3.3824	-18.8565	-11.6858
72.0021	0.8215	-38.2024	7.7215	-5.1649	-17.9338	20.5376	-8.2097	-21.0510	-36.8617	-16.2448	-21.1129	-9.0196	-3.8423	-4.2563	-15.7188	-9.0230
80.0024	3.7712	-29.7574	6.9327	-8.4819	-11.5011	3.1516	0.9804	6.2734	-26.6444	-8.4833	-9.8049	-4.0379	-1.3545	-7.7863	-6.6685	-6.4498
88.0026	-2.0609	-32.5450	4.8668	-9.3731	-14.7204	2.7622	-7.2525	16.2564	-33.0641	-22.2083	-6.8023	-14.2347	-1.6431	-8.4367	-3.1874	-3.7878
96.0029	-3.6831	-25.5150	5.6346	-8.1303	-15.0488	6.4681	-10.3459	-2.6784	-32.5917	-17.8370	-9.1747	-11.5079	-1.4298	-8.5961	-1.1350	-3.9035
104.0031	-10.1490	-23.8270	5.4261	-10.9303	-6.5031	-6.8984	6.5155	15.0294	-24.4786	-8.5838	-14.6228	-8.4390	-0.0028	-1.2379	8.1741	0.4052
112.0033	-9.8659	-19.8676	2.2819	-5.4339	-5.3862	6.5846	2.5855	46.0448	-25.8591	-10.5197	-13.6275	-11.6938	0.8880	3.0350	9.9221	6.4882
120.0036	-5.1005	-4.9926	2.8437	3.2926	-5.6835	13.6184	-3.3059	22.9243	-20.9879	-4.5812	-14.5307	-7.8274	-1.5449	6.2788	-1.0487	6.5253
128.0038	-3.6887	0.7320	8.9986	2.7230	-4.2689	8.6761	20.1100	4.0757	-16.8108	3.6651	-15.9683	-4.9032	-2.0546	10.3021	-3.5141	5.2075
136.0040	-1.5149	-3.3580	9.1041	-1.8632	-4.9763	14.7652	24.8332	35.4325	-17.3516	1.1637	-0.7485	-4.8499	2.5746	5.5543	1.1524	3.7563
144.0043	-2.5180	0.6760	7.5139	-2.6671	-8.3741	7.4710	1.5997	51.1738	-11.2761	-1.1450	5.7465	-5.1900	2.6011	5.2456	-4.2632	2.5144
152.0045	2.7479	14.7677	13.5877	-1.8225	-19.1297	2.2275	-19.7199	-8.4652	-5.6640	4.0292	2.2449	-1.6200	-1.1873	-1.9985	-12.6335	-3.5209
160.0048	9.3878	21.6432	14.6626	-4.6876	-20.3945	2.1958	-25.7614	-43.7446	6.3582	10.6412	14.2137	8.6418	1.2399	-16.6464	-10.8174	-10.8638
168.0050	6.5873	16.7414	8.5243	-3.3593	-9.8154	2.0225	-14.0392	9.0600	11.2152	11.3173	16.3194	8.6745	3.8798	-10.2026	-4.1393	-4.2551
176.0052	7.9249	17.9379	7.3188	4.0363	-7.9732	8.0998	-3.5508	28.8755	-3.1735	5.4594	7.0710	0.2579	0.6563	-2.7081	-3.3060	4.7761
184.0055	8.1348	27.1583	8.8507	3.5761	-4.2179	0.3610	12.1693	25.4445	1.9153	4.9276	14.7045	1.0562	1.4848	-1.5950	-0.1929	5.7235
192.0057	0.0178	22.8039	4.4025	-4.1990	4.2381	-10.0745	20.0935	42.9333	17.6674	8.8585	19.0887	3.4782	5.7434	6.0440	12.2919	4.5674
200.0059	-2.2177	11.2806	-0.3544	-6.9002	-0.7847	-12.2140	-5.9527	-7.0068	9.2422	1.6092	9.5080	-0.2600	2.2678	1.2069	12.9387	-1.8356
208.0062	4.4398	16.9379	3.4109	-3.6446	-8.2515	-11.5167	-14.7543	-54.0244	-0.4660	-4.2046	11.1857	-0.3801	-1.5538	-7.1536	1.2683	-6.8770
216.0064	9.4201	24.5852	6.1923	-3.1992	-5.0367	-9.4869	-1.3935	-18.0565	2.5334	5.2618	18.7219	5.7604	1.4049	-3.7037	1.4211	-4.7150
224.0067	6.5310	25.6522	3.5473	-2.6474	-1.8552	-3.3359	-8.3077	7.2928	7.2151	12.2737	17.6431	10.2279	4.0958	-0.5221	5.0753	-2.3930
232.0069	5.5606	33.0049	3.0281	2.8789	-1.9891	17.5382	-9.1462	-3.0925	13.0956	12.2122	20.7121	11.7072	5.8651	1.5334	2.3064	-2.1104
240.0071	9.5928	32.2269	2.7764	2.5984	0.7272	13.2146	0.5379	-17.1513	13.5960	11.3202	22.6824	13.6619	5.1328	0.5556	1.5239	-4.3687
248.0074	5.5179	22.9512	1.2332	-0.5989	4.8853	-8.2029	2.6576	-18.1668	6.8219	7.0033	16.7658	13.6567	3.0497	-4.1758	2.9131	-3.6420
256.0076	-1.0120	17.6258	-0.9398	2.3513	8.8368	-0.3280	11.3985	22.2797	4.1098	3.9323	12.9237	8.3448	4.4090	-0.0811	7.0810	4.4952
264.0078	0.6874	15.3269	0.0166	4.3388	8.5184	-4.4182	18.7758	42.9113	-0.5420	-0.0818	0.5237	1.8472	1.1359	9.2077	8.1164	10.3733
272.0081	1.4938	19.9793	3.8752	3.7461	1.9840	-6.7011	8.0647	-1.7834	-10.2718	-2.1248	-5.1392	3.0730	-1.6626	7.8026	3.0479	5.4448
280.0083	-0.5783	21.9392	2.4346	2.4249	-0.9574	12.5418	-7.1541	-23.6735	-3.6780	8.1115	8.5062	9.0423	3.0686	2.1929	0.3738	-2.5885
288.0086	4.7832	22.9486	2.3176	2.7070	0.6247	8.9605	-3.1029	-8.2971	9.1016	14.4708	7.9538	10.6003	2.7022	6.7870	-0.8138	-2.0904
296.0088	11.7605	30.3105	1.4445	5.5374	5.3879	7.3241	7.7633	0.3385	7.4683	11.7439	5.6293	13.2784	1.6893	14.6569	1.8943	0.5919
304.0090	9.7810	29.0758	-3.3602	5.7864	11.1081	13.6057	3.0175	33.8826	7.9411	15.1740	10.8567	18.3490	5.2889	18.4157	4.1749	1.5925
312.0093	9.8403	24.3820	2.2529	5.1133	5.3418	14.1554	0.8455	56.2676	1.5745	20.3639	5.8813	17.9058	4.8500	16.4249	-2.5025	2.8701
320.0095	15.3551	20.7510	6.8838	1.0456	-2.3851	15.7546	4.2032	27.3292	-19.2099	19.9910	13.7577	14.8640	4.0776	9.3378	-5.6635	-4.0877
328.0097	14.1910	18.9350	4.9407	-3.0671	-3.1207	4.3153	-1.9395	5.2489	-19.7113	13.3707	17.2279	12.4995	3.1374	6.5420	-2.7062	-7.8495
336.0100	9.7281	23.5363	6.0001	0.7472	-4.6363	3.0264	-10.5212	10.0118	-9.0752	9.2434	4.1794	10.9583	1.4307	3.9128	-0.0041	-0.5733
344.0102	6.6467	20.9473	3.6055	1.5400	-1.8513	6.2700	-11.1479	26.3444	-9.5574	14.3163	6.3139	11.2622	3.0550	1.7649	2.1612	1.6720
352.0105	5.1295	25.5767	6.6608	1.8090	0.8388	7.7192	7.2794	34.4619	2.3187	13.5997	2.8629	11.6049	3.9506	11.1529	4.3039	4.2473
360.0107	7.7471	34.5462	10.3399	5.2572	0.9537	18.6876	23.5308	35.4165	14.7571	9.8295	-3.2563	11.2487	4.3073	16.5903	9.4782	9.1387
368.0109	7.1350	18.3387	4.0928	0.8491	2.1427	0.9891	10.6732	44.5902	-5.7897	6.3665	7.3430	6.7812	2.9066	8.2298	4.5916	4.5985
376.0112	2.0760	5.8661	5.2516	-2.2633	-6.3274	-5.5724	-6.5512	13.3311	-32.7921	-6.2699	9.5663	-0.0582	-0.1439	-0.6137	-7.3145	-2.3421
384.0114	0.3381	12.7036	7.4732	-1.8805	-12.0477	10.9456	-12.8580	-43.2980	-35.2246	-5.6182	9.2647	0.9129	0.5323	-4.8151	-4.5797	-7.1920
392.0116	1.3523	18.4663	5.0776	-2.6187	-6.3914	4.1455	-8.9182	-49.2842	-25.9401	5.8106	11.7160	5.8024	1.3954	-2.8271	0.5624	-7.7359
400.0119	-0.3538	19.9486	5.9452	1.8523	-4.0908	14.4172	3.5456	-10.0006	-17.7958	3.6013	10.0007	2.7920	2.6036	5.0918	-0.8867	-0.9111
408.0121	-5.7714	13.3834	3.5281	2.3251	-2.7465	8.3380	3.5331	21.0142	-17.3036	3.4009	8.7726	-5.1375	1.7483	9.0935	-1.7814	3.7143
416.0124	-7.1268	8.6566	4.2709	-2.4365	-3.7977	-20.9115	-1.4479	-8.8936	-22.2195	4.2276	3.2036	-7.0170	-2.6379	1.3256	-1.8817	1.2229
424.0126	-3.5524	10.0517	7.5607	-4.1745	-7.7106	-4.7293	1.4722	-36.1739	-18.6558	-1.7709	8.4803	-1.9980	0.3761	-8.5012	1.6553	-3.3860
432.0128	-0.1660	10.1492	6.6784	-4.5480	-7.1133	-0.1300	-2.2185	-8.1902	-13.5493	-0.3415	16.4076	1.7858	3.0820	-11.0673	1.2085	-3.4724
440.0131	4.7446	12.9763	7.1081	-0.6740	-8.6974	-3.5674	-10.2222	-28.6352	-12.7503	2.1511	5.9850	3.7960	-0.7263	-13.8070	-2.6489	-2.7463
