Time	Fz	Fpz	C3	C4	T5	T4	O1	O2	F7	F8	F3	F4	T3	T6	P3	P4
0.0000	-37.1475	-3.3594	6.0407	-43.1726	-1.2085	-1.4091	83.1675	32.5567	-1.6418	-3.9533	-8.8074	-12.6248	560.5939	9.8455	4.1838	15.8294
8.0001	-8.1908	2.7756	0.8074	-9.6005	0.5849	2.1936	-15.0657	-3.1957	1.2659	1.4107	1.6816	4.2591	-93.8522	2.4280	-5.3803	-5.2899
16.0003	-14.2826	6.0448	3.7225	-16.5567	1.5043	6.0772	-20.2444	3.3884	0.5881	-0.3236	1.1732	4.7862	-124.2857	16.0548	-14.7058	-7.6328
24.0004	-9.2975	2.3989	-3.8286	-15.5389	-2.2677	1.7794	-23.3680	-1.1617	0.4753	0.9326	1.0857	2.2945	-127.5824	11.4938	-15.7545	-9.0130
32.0005	-16.6601	1.0454	-7.7267	-16.3550	-2.2933	0.5436	-23.3215	-2.5792	2.1081	5.7211	2.1684	-1.5274	-131.3200	8.2012	-8.9551	-5.1225
40.0007	-14.6300	1.4280	-5.6017	-17.6488	-0.8349	0.0732	-23.2247	-5.0664	2.7781	5.6790	3.0254	2.8918	-141.4847	1.7561	-8.7420	-1.5851
48.0008	-8.7589	2.4253	-2.0010	-8.7384	0.2672	0.4520	-20.9003	-1.1490	1.0277	1.5849	2.0296	4.1047	-136.5129	4.0686	-18.3157	2.6716
56.0010	-16.3438	4.8742	-0.0093	-9.6097	1.4770	3.7252	-23.6271	3.9104	0.9771	2.5195	1.7605	-0.0774	-157.5169	13.3178	-21.5467	1.3278
64.0011	-17.3331	3.6996	-0.9671	-12.6888	-1.9043	0.1462	-26.6539	-5.7337	0.9734	1.7591	1.3281	0.2895	-156.8858	-0.9193	-29.4400	-9.2602
72.0012	-20.2744	2.6763	-1.9768	-6.8609	-2.6650	-1.7737	-24.7483	-6.3198	0.3424	-0.2138	1.1918	2.4180	-142.4307	-3.5568	-32.3293	-6.9235
80.0014	-21.9945	2.0205	-4.1766	-6.9333	-1.9138	-1.7898	-24.7007	-4.9922	1.1386	1.9923	2.0271	2.0822	-148.7623	-1.6101	-26.6191	-1.5769
