Time	Fz	Fpz	C3	C4	T5	T4	O1	O2	F7	F8	F3	F4	T3	T6	P3	P4
0.0000	26.2987	17.3239	-5.7408	9.8207	97.0003	34.5341	14.4158	24.7184	13.4555	23.5472	30.8964	19.1215	-2.8440	10.5409	38.3648	9.8125
8.0002	0.5023	-0.6389	0.7367	-0.7997	-2.4269	-2.6294	1.4232	6.5656	1.6129	-8.0501	0.4525	-1.4809	2.1193	-3.9814	5.5977	-1.2331
16.0005	1.2434	-0.9779	-4.3731	-0.4108	-5.4863	-0.4883	0.5366	0.3282	1.5533	-1.8948	0.9304	1.3905	0.7703	2.8059	7.9003	2.1684
24.0007	0.9715	-0.3066	3.9213	1.2292	-6.8714	-1.7481	0.4673	-0.7141	-3.9122	0.2875	0.0802	1.6614	1.7953	1.6484	10.4892	1.8017
32.0009	1.9661	1.9815	9.9052	4.4685	0.2846	0.6407	2.5865	9.5851	-7.9768	-7.4815	0.5225	2.1556	1.7672	4.5322	5.6625	2.8647
40.0011	1.6673	1.0652	0.6407	3.9853	-2.7933	3.6743	1.2560	10.6178	-0.4811	8.2575	0.6293	4.0646	-1.2678	11.5694	1.2105	5.5320
48.0014	-0.2025	0.6409	2.2288	2.8016	-3.0239	2.4464	-0.6043	4.0585	-0.1895	14.2878	-0.7765	2.6251	-1.8744	7.8127	-3.1295	3.1326
56.0016	-0.4383	2.8515	7.8542	4.9142	6.2755	3.8460	0.5426	9.4382	-3.4745	-2.1154	-1.1206	1.3240	-2.1468	8.0742	-13.7185	2.3346
64.0018	-0.8405	0.4416	-3.4278	2.7311	-3.3680	3.4310	-0.9865	6.8806	5.1916	3.2889	-1.2077	2.2864	-3.3846	12.7924	-11.7910	4.5357
72.0021	-3.8445	-3.3824	-9.6709	-3.8249	-10.7340	-2.2616	-2.1664	-5.2819	0.4600	4.3824	-3.8935	-3.0530	-1.4887	-1.5191	-10.0950	-1.5760
80.0023	-3.8895	-2.2594	-6.1905	-2.9421	-4.2080	-1.3882	0.1783	1.2830	-8.3023	-6.2473	-4.5634	-4.9276	-0.7635	-4.3479	-16.1717	-2.9382
88.0025	-1.8460	-0.9839	-5.0040	0.8381	-6.9826	1.2768	-0.2413	7.8717	0.7151	1.3010	-2.5877	-0.0553	-2.1748	7.7022	-11.4992	2.5497
96.0028	-4.2638	-1.8269	-5.8205	-1.8627	-5.1222	-0.5266	-1.7902	4.0006	3.5370	4.0891	-4.0579	-3.4622	-2.7252	0.2681	-19.1160	-1.8200
104.0030	-3.3018	-1.1597	-5.9515	-2.1589	1.4160	0.6588	0.2004	4.5968	-3.8996	-2.5605	-3.3943	-4.2774	-1.8549	-3.0363	-18.9418	-2.7768
112.0032	0.1609	1.0236	2.3447	2.2225	1.3178	1.7575	0.7499	4.8423	-3.1541	-2.5658	-0.4521	0.9033	-0.6432	4.5216	-4.3778	1.7860
120.0034	-2.6162	1.0504	2.3480	2.7603	0.1850	1.9728	-1.3459	9.0871	4.7281	-1.0798	-2.6705	-0.4569	-3.2654	7.7976	-19.7938	1.2799
128.0037	-2.8422	0.3929	-2.4940	2.7035	-2.0550	3.6027	-0.3803	10.9814	-1.2133	-0.8855	-3.7289	-0.2574	-3.9567	11.0250	-23.4204	2.9305
136.0039	0.2911	2.0063	7.0688	5.2293	0.0293	3.4912	1.6188	6.6277	-13.1611	-1.8694	-1.7013	2.6198	-0.8922	9.9927	-6.4335	4.4286
144.0041	0.8458	1.3055	1.2467	5.4639	-5.1546	4.5210	0.7149	10.6485	-2.5072	5.7343	-0.7460	4.7662	-2.3506	16.7963	-4.6890	7.3662
152.0044	0.3634	-2.4752	-11.9513	0.8982	-18.0049	1.9703	-1.2088	-1.7385	1.7191	12.4692	-0.9865	5.0278	-2.1646	16.3250	4.5505	8.0833
160.0046	-1.8875	-4.2928	-7.9243	-5.0192	-15.9219	-4.9061	-2.1718	-24.2884	-11.4183	2.1903	-2.8077	-1.0750	1.8215	-5.1847	10.2619	-0.9205
168.0048	-1.6260	-1.9572	-4.7050	-2.6615	-5.2707	-1.6631	-0.8456	-8.6222	-5.3900	1.0670	-1.9309	-1.6267	0.1667	-3.2955	-1.1109	-1.3256
176.0051	1.2362	2.9016	2.1333	5.3986	6.2768	6.5612	0.7428	15.6158	5.5575	8.8370	1.0512	3.9026	-3.5592	13.7933	-10.4090	5.1144
184.0053	3.1673	3.8904	5.3676	6.1754	9.3978	6.6444	1.1494	11.1095	4.2698	5.8782	3.0383	5.5413	-2.3151	13.3014	-1.4639	5.7199
192.0055	5.7418	1.5056	0.8450	2.7352	1.9529	3.0900	2.5826	0.8590	-2.2136	6.9261	5.1224	6.2426	1.8288	6.1479	23.4478	5.3627
200.0057	5.4304	0.8706	4.1667	1.0514	1.4383	0.0730	3.0125	-5.4129	-9.5315	2.6498	4.5784	4.2575	4.1952	-2.1063	29.2255	2.3602
208.0060	3.6593	0.3864	0.2148	0.7254	-0.2353	-0.0247	2.2370	-1.4404	-4.1720	-7.1741	3.0337	2.7068	2.6830	0.9916	17.5083	2.5100
216.0062	3.0571	0.9164	-1.9729	2.4728	0.0835	3.1031	1.9913	5.7265	-1.2135	-0.2729	2.3040	3.8516	0.0994	8.2019	7.8499	4.8268
224.0064	1.6680	1.1662	2.3785	1.4430	3.4380	2.0701	0.3486	-8.2899	-8.1720	1.7009	1.0993	2.6004	0.2435	2.3639	5.7307	1.9139
232.0067	1.6734	-0.8194	-3.4174	-0.8265	-4.0760	-0.4653	0.0692	-12.8109	-6.7836	-4.3382	1.0070	2.1511	1.4265	1.3792	12.1360	2.1740
240.0069	0.8937	-0.8437	-5.0810	-0.4080	-3.0757	0.8515	1.5400	0.0623	-6.7983	-2.9551	-0.0360	0.7268	0.5500	2.1765	3.5199	1.9483
248.0071	-0.7340	-1.8385	-9.1772	-2.8543	-2.2337	-0.1266	0.9782	-3.1982	-6.8087	-7.8537	-1.2558	-1.9637	0.1912	-2.1005	-3.1542	-0.5489
