Time	Fz	Fpz	C3	C4	T5	T4	O1	O2	F7	F8	F3	F4	T3	T6	P3	P4
0.0000	-22.2746	0.0820	0.0320	-20.5475	-10.3354	-2.2255	-2.9845	-7.6392	-13.6284	-1.7789	3.4995	1.2579	-6.2259	-2.5321	-1.6129	-5.5630
8.0000	-28.8823	0.3808	0.3200	-12.8717	-4.8481	-2.2114	-2.6689	-8.0613	-5.3743	-2.5442	-4.8623	-9.3900	-4.5863	-2.9157	-0.6629	-2.4026
16.0000	-23.2652	0.2464	0.1978	-16.4323	-7.6341	-1.8318	-1.7687	-7.4688	1.0895	-1.9518	-4.1790	1.1265	-2.7203	-3.0906	-0.4630	3.0321
24.0000	-33.2777	0.5913	0.5244	-24.0765	-12.3240	-2.4383	-2.0935	-7.7940	-9.2740	-2.6836	-12.9306	6.9764	-3.1061	-2.6100	-0.3732	4.9004
32.0000	-35.9459	0.6752	0.6047	-15.0426	-6.4411	-2.5039	-2.3947	-7.8902	-0.2583	-3.0537	-13.9709	-1.3958	-3.4138	-0.7367	-0.1886	7.9527
40.0000	-37.4628	1.3409	1.2725	-11.6414	-5.7373	-2.5723	-2.3563	-9.4987	-2.0588	-3.3526	0.0850	6.0402	-2.5194	-0.8171	0.3880	1.1665
48.0000	-42.0094	1.5992	1.5220	-15.3435	-7.7802	-2.7529	-2.2634	-12.8584	-7.3325	-3.8229	3.9817	6.8405	-1.7532	-3.7481	0.7557	-3.6516
56.0000	-37.0164	0.6997	0.6200	-19.7264	-7.4992	-2.2015	-1.5433	-12.9272	4.1603	-3.3163	-0.8946	-10.2862	-0.9006	-3.4109	0.3837	3.5744
64.0000	-36.0482	0.5350	0.4537	-23.0051	-8.9315	-2.0861	-1.3758	-11.0711	4.2310	-3.1050	0.5311	-11.0426	-0.9287	-0.7010	0.1028	8.4158
72.0000	-26.9074	0.1606	0.1019	-20.5184	-8.8114	-1.8840	-1.6635	-8.5509	5.9823	-2.1149	15.9422	2.2895	-2.5450	1.5025	-0.8685	16.7106
80.0000	-22.0326	-0.1749	-0.2304	-27.4627	-12.0924	-1.3362	-0.8185	-6.4537	2.2815	-1.4877	26.3905	2.1418	-1.4208	4.0568	-1.1863	23.2320
88.0000	-24.0774	-0.0498	-0.1139	-31.2551	-13.6595	-0.9901	-0.0307	-5.3675	-10.0484	-1.6274	20.9158	-5.1862	0.2489	4.9496	-0.7184	20.8850
96.0000	-19.7667	-0.1201	-0.1801	-32.9428	-14.3275	-1.0175	-0.2431	-3.6467	0.7280	-1.3484	22.1943	-6.9234	-0.1299	3.8620	-0.8370	14.4662
104.0000	-25.8721	0.3089	0.2282	-44.8085	-19.8735	-1.4566	-0.2391	-3.2073	10.2073	-1.9753	27.0438	-8.8999	0.9181	2.9094	-0.4036	7.6631
112.0000	-29.6572	0.4893	0.4147	-32.2619	-14.0723	-1.7032	-0.9519	-2.1856	1.7877	-2.2752	21.3596	-3.6925	-0.7184	3.2560	-0.4598	14.4825
120.0000	-29.9118	0.6702	0.6067	-19.4489	-8.5819	-2.0315	-2.0263	0.0228	-2.6535	-2.3208	13.2122	2.3459	-3.2665	4.1019	-0.7218	14.8846
128.0000	-27.9206	0.8953	0.8191	-35.8298	-16.9104	-1.7217	-0.8814	0.4601	-1.1779	-2.2201	10.1490	-4.3825	-0.3655	4.6817	-0.0726	-0.3944
136.0000	-19.8079	0.4979	0.4298	-39.7257	-18.5601	-0.9042	0.3584	0.9091	-2.2327	-1.4517	8.4197	-10.1104	1.7003	6.0432	0.0274	-0.9332
144.0000	-25.1365	0.6515	0.5729	-40.8772	-18.8989	-1.2477	-0.1200	1.2562	-7.1356	-1.9047	6.7548	-12.4702	0.8025	6.1566	-0.0497	-1.6429
152.0000	-29.2016	0.9911	0.9003	-48.6882	-23.2755	-1.7755	-0.6557	1.0219	-6.5381	-2.3253	9.0829	-10.6754	0.1751	4.8468	-0.0368	-11.1606
160.0000	-26.2258	0.9074	0.8281	-40.1585	-19.0370	-1.5667	-0.6261	1.1533	-4.6199	-2.0993	7.0499	-9.5426	0.0783	5.1022	0.0085	-7.8708
168.0000	-25.2175	0.6362	0.5562	-38.4502	-16.9034	-1.0848	0.0322	1.3434	-8.3368	-1.9937	5.4089	-19.7320	1.2234	4.9611	0.1711	-3.9833
176.0000	-23.5547	0.5090	0.4300	-40.0296	-17.4450	-1.0711	-0.0228	2.2891	-5.1832	-1.8532	5.4861	-21.3409	1.0213	4.0291	0.0445	-5.0917
184.0000	-25.0206	0.8307	0.7581	-29.3688	-12.7486	-1.3748	-0.6236	2.9966	0.7389	-2.1029	-5.6220	-16.5806	0.1334	4.5467	0.3331	-5.8253
192.0000	-22.2700	0.8828	0.8204	-19.3651	-7.7870	-1.1607	-0.6341	3.2501	0.9608	-1.9658	-11.5246	-18.4260	0.0461	5.3211	0.5455	-7.3666
200.0000	-20.1837	1.0342	0.9913	2.1562	3.1219	-0.8955	-0.8116	3.8814	4.0286	-1.9095	-9.7221	-15.6756	-0.2445	6.3664	0.8564	0.8348
208.0000	-17.5106	1.3238	1.2987	20.3340	12.3592	-0.4053	-0.2934	4.0343	10.3849	-1.8516	-6.0672	-13.0995	1.3644	6.9692	1.6675	7.1162
216.0000	-13.9345	1.2854	1.2639	17.3412	10.5991	-0.4618	-0.5620	4.0191	12.7663	-1.6106	-0.5164	-12.7335	0.7455	5.2290	1.4376	-1.1507
224.0000	-17.4068	1.4268	1.4044	25.2914	14.4040	-1.0697	-1.9458	4.0538	10.5133	-2.0102	-9.1426	-13.5669	-2.2295	4.5757	1.0947	-6.0823
232.0000	-14.5481	1.5682	1.5526	34.6012	19.6229	-0.5347	-1.3169	3.6677	10.9464	-1.9156	-9.8573	-20.5804	-0.7250	6.4420	1.6866	-8.2367
240.0000	-14.8743	1.6433	1.6177	25.2729	15.5584	-0.3881	-0.7612	3.1174	13.4678	-1.9730	1.4213	-25.2936	0.7839	6.6450	1.8745	-12.2776
248.0000	-15.9988	1.4232	1.3977	24.8199	15.2232	-0.4576	-0.8893	3.2332	7.3252	-1.9604	-6.1196	-24.3326	0.1453	5.2994	1.6456	-8.2415
256.0000	-10.4541	1.2445	1.2362	32.7177	18.3859	0.0561	-0.3982	3.7968	-2.3124	-1.4321	-18.0748	-22.2075	0.5900	5.2229	1.7886	-6.9799
264.0000	-13.5800	1.6289	1.6172	37.2379	20.6111	-0.1949	-0.8215	3.8114	-1.5323	-1.8442	-18.7488	-23.2516	0.1822	5.4232	2.0776	-12.0584
272.0000	-10.2091	1.5186	1.5151	41.7279	23.1438	-0.1389	-1.0960	3.9301	4.1871	-1.6152	-10.5415	-23.1519	-0.4908	4.7800	1.8494	-11.9426
280.0000	-1.1486	0.9904	1.0019	34.1852	18.2597	0.1679	-0.7677	4.1169	3.5231	-0.6287	-3.7304	-13.7367	-0.6965	4.1484	1.1322	-9.7853
288.0000	4.6611	0.7994	0.8224	29.1924	14.5470	0.3576	-0.3685	4.2265	5.7988	-0.0142	-1.1629	-3.4351	-0.1537	3.5345	0.9421	-8.5695
296.0000	9.5075	0.9704	1.0092	39.6391	19.8047	0.6857	-0.1309	4.6441	15.2020	0.2312	8.1360	-0.6967	0.7575	2.6175	1.3718	-8.6800
304.0000	6.3128	0.9388	0.9725	39.9169	20.3249	0.4986	-0.4315	4.4655	13.2780	-0.0108	9.0643	-1.8469	0.0984	2.3436	1.2120	-5.3013
312.0000	5.1616	0.6115	0.6444	37.6280	19.1066	0.5685	-0.2370	4.2609	5.9077	0.1006	4.1327	0.3215	-0.0551	2.8454	0.8918	4.4274
320.0000	5.0090	0.9479	0.9896	45.4553	22.2879	0.5232	-0.3806	4.3849	7.5725	0.0224	10.8489	8.8310	0.0102	3.0045	1.1561	6.7389
328.0000	9.8786	0.8944	0.9475	44.1496	20.5615	0.6523	-0.3007	4.3662	5.6333	0.4867	17.8241	17.0939	-0.0752	2.1070	0.9496	4.9082
336.0000	17.4541	0.2759	0.3380	37.6735	17.3551	1.1397	0.3967	4.7632	5.7152	1.2799	13.9293	15.8624	0.6519	0.4878	0.6176	6.3803
344.0000	9.9688	0.5960	0.6411	36.3153	17.2076	0.5492	-0.2779	4.5772	9.4213	0.5003	3.5063	9.7373	-0.1284	-0.0688	0.8643	0.0270
352.0000	5.8734	0.9959	1.0357	38.7957	17.9998	0.3540	-0.5113	3.6297	2.0170	0.0720	2.0150	10.1047	-0.2994	0.7180	1.1474	-4.7791
360.0000	4.7190	0.9223	0.9608	40.7301	19.5089	0.5425	-0.1596	3.3453	0.2126	0.0012	1.1603	7.2754	0.4327	0.9426	1.3120	0.4366
368.0000	-0.0161	0.7739	0.7975	33.6029	16.6379	0.0660	-0.7216	3.1289	2.6301	-0.3812	-6.2022	1.8092	-0.7255	-0.4344	1.0015	-1.1111
376.0000	-0.0283	0.6827	0.7016	22.9199	10.5116	-0.2525	-1.0004	2.6935	1.0262	-0.3100	-7.4809	6.2472	-1.4335	-2.5875	0.6459	-6.7023
384.0000	-3.3407	0.4724	0.4737	8.5706	3.9518	-0.4787	-0.7417	2.5765	7.6201	-0.5106	-16.9349	1.3715	-0.7326	-3.2803	0.6133	-6.9890
392.0000	-0.6494	-0.0423	-0.0478	-0.5270	0.3636	-0.0853	-0.0369	1.9221	4.1434	-0.1859	-25.7709	-10.5909	0.1652	-2.9383	0.4340	-9.0408
400.0000	4.6929	-0.1859	-0.1725	9.7897	5.1470	0.2842	-0.0384	1.4158	-1.7213	0.2843	-16.0953	-6.2151	-0.3371	-3.1395	0.2067	-5.1663
408.0000	7.3137	-0.3646	-0.3411	12.0679	5.8534	0.2425	-0.2137	1.7663	6.3425	0.6088	-8.1851	3.5169	-0.9152	-2.4699	-0.1804	4.3545
416.0000	14.8341	-0.6833	-0.6506	3.4387	0.5002	0.8245	0.9342	1.4984	4.6836	1.4377	-9.2604	9.2061	0.9324	-0.4517	-0.2498	5.8686
424.0000	15.1295	-0.8099	-0.7781	1.6334	-0.4431	1.0352	1.4117	1.3146	1.9948	1.5625	-13.9212	8.8445	1.6986	1.4364	-0.2134	10.1616
432.0000	13.2964	-1.1388	-1.1171	-5.2908	-3.0330	0.9260	1.2906	1.4956	0.6730	1.5071	-15.7998	2.4711	1.0941	1.1545	-0.6355	12.3491
440.0000	17.8029	-1.0442	-1.0110	-1.8992	-2.2078	1.0661	1.1835	1.5185	-4.4895	1.8273	-11.8273	6.0438	0.7158	-0.0488	-0.6621	4.9752
448.0000	21.8915	-0.9793	-0.9253	10.7233	3.2385	1.0939	0.8446	2.1012	3.4430	2.1474	-6.2688	17.9412	-0.0035	0.3170	-0.7264	11.8111
456.0000	19.4401	-1.0789	-1.0332	1.4508	-1.3977	1.0009	1.1710	1.4382	4.0342	2.0444	-5.0820	20.4326	0.8144	-1.1129	-0.7286	15.4632
464.0000	11.7021	-0.5934	-0.5719	-7.1481	-5.3479	0.4171	0.6467	0.3769	0.2503	1.1685	-13.1180	10.2769	0.5279	-3.4936	-0.3157	-3.0669
472.0000	6.9750	-0.4233	-0.4108	2.5287	1.0552	0.0090	-0.4291	0.4812	5.8538	0.5352	-17.1775	-2.9073	-1.4298	-2.6659	-0.3469	-7.8891
480.0000	3.5661	-0.5207	-0.5143	4.0829	2.7595	0.2145	-0.0253	0.1039	0.6288	0.3359	-14.4749	-7.4048	-0.7017	-0.8478	-0.2825	2.0165
488.0000	8.0167	-0.5936	-0.5836	-4.5463	-2.3016	0.6280	0.9514	0.6310	1.2082	0.8562	-7.6766	-1.4469	1.1926	1.2336	-0.2207	4.1575
496.0000	12.2390	-0.7200	-0.7029	-5.5687	-3.0323	0.8888	1.3091	1.1002	5.2816	1.2784	-0.9024	1.8950	1.7300	2.9421	-0.3544	7.2236
504.0000	5.4139	-0.6252	-0.6211	-4.8819	-2.1012	0.4549	0.6013	0.2336	-0.9683	0.6741	-3.8260	-3.2822	0.3029	2.6879	-0.5231	6.7207
