Time	Fz	Fpz	C3	C4	T5	T4	O1	O2	F7	F8	F3	F4	T3	T6	P3	P4
0.0000	0.2280	-14.4109	-9.5875	-15.4345	-7.5441	-42.6781	-14.6363	5.8557	-0.8091	27.8269	1.8142	-14.2030	1.2179	-4.9144	-3.8463	10.9415
8.0002	-2.2852	-14.1300	-4.8153	-17.2286	-10.4370	-35.1846	-18.8047	12.3066	-5.3241	24.7845	-14.5227	-10.3718	-1.3005	-14.2000	-3.4895	22.1202
16.0005	-2.4066	-11.8078	-4.9771	-22.6284	-1.7274	-20.6315	-8.0438	15.1857	-2.8565	35.8906	-16.2462	-6.2209	-1.2196	-8.4687	0.2503	23.6768
24.0007	-1.1688	-3.6257	3.1620	-14.0983	15.0701	-17.0717	-4.7804	16.0825	7.6029	41.5413	5.0232	4.8448	1.3458	6.3053	2.6929	12.2511
32.0009	-4.3538	-12.9140	-10.1236	-19.4333	1.4817	-26.2895	-7.3963	15.7894	-10.2646	20.2492	-19.2536	-7.6384	-1.9316	-21.3690	-0.1856	14.5226
40.0011	-3.7280	-16.6653	-18.5053	-13.4124	-9.7223	-31.8238	0.3599	22.8075	-15.1686	19.5213	-21.4735	-12.6074	-0.8410	-26.1402	-4.0664	13.4302
48.0014	0.5501	-1.0540	-5.3308	-11.6166	-0.8766	-2.5243	-1.7598	25.6109	-1.1524	36.5444	12.9534	3.0584	5.3115	-5.0419	-4.5008	8.5409
56.0016	-3.1724	-6.6443	-13.3259	-22.4450	-10.1404	6.3458	-6.8957	15.3864	-10.6384	30.2898	-15.7234	-5.2584	0.5301	-17.3816	-5.6200	13.0312
64.0018	-5.9753	-13.6676	-10.7607	1.6063	-8.2633	-31.0513	-1.2818	15.3255	-8.6968	27.0459	-23.2682	-4.6629	-2.2318	-21.7747	-8.7076	0.4659
72.0021	-0.9186	-7.3664	-4.7170	-0.0543	1.8230	-27.1542	4.8249	25.1478	-4.5915	21.3750	0.4084	0.8677	2.5001	-13.6517	0.1084	2.7201
80.0023	0.2350	-9.0901	-18.7788	-10.6223	-10.4690	-9.0969	-3.5599	20.0265	-13.8091	7.1861	-17.3822	-10.0443	-0.4677	-9.1514	5.9029	15.9898
88.0025	-2.5563	-12.2012	-7.4320	9.0519	-16.1016	-36.8902	-11.3368	16.4518	-8.3580	7.2998	-19.9400	-6.7322	-2.1264	-12.9400	-3.0093	8.8261
96.0028	-1.2462	-12.4048	7.6692	2.9469	-8.9646	-42.1478	-2.7905	16.2115	-4.8909	7.0585	-15.0037	-2.6443	-2.0171	-21.6895	-1.0927	18.9996
104.0030	-2.4779	-6.1725	3.6532	9.7257	-0.3250	-24.6467	-5.1114	8.5580	-1.4476	-1.6251	-17.3943	0.1701	-5.0980	-2.8203	0.3504	16.5929
112.0032	-6.5839	-1.8226	6.8435	18.9218	1.8613	-26.1658	-13.7585	10.1839	1.6375	-11.2442	-13.7825	5.2110	-3.5579	-0.5732	-6.2985	0.8293
120.0034	-4.9442	-4.8982	5.4258	4.5280	3.5865	-22.5366	-9.9169	7.8897	-3.0332	-9.2397	-18.8629	1.3030	-4.6445	-9.2503	-0.6207	11.3486
128.0037	-3.8573	-8.7712	-13.5998	8.6756	6.0356	-29.0602	-1.7761	12.7693	-4.0651	-8.9506	-21.5661	-7.2067	-5.6082	9.2592	3.9938	12.1923
136.0039	-6.5630	-13.9875	-15.6829	7.6548	-4.6274	-38.5627	1.1691	20.4150	-8.4986	-21.7310	-35.1036	-12.9359	-4.8487	0.8498	1.1373	12.8321
144.0041	-4.6495	-10.8306	0.0800	2.6443	-3.8883	-30.8272	0.3515	12.1205	-5.7763	-15.1076	-28.2005	-6.1094	-4.0177	-10.5497	1.6555	13.2976
152.0044	0.6460	-19.5552	-26.6038	-10.5931	-16.6140	-45.1776	10.9253	28.4811	-17.5261	-24.7730	-17.0510	-26.0661	2.2434	-12.8926	6.2761	16.0124
160.0046	-0.2052	-29.6597	-41.3605	-12.6618	-40.2318	-48.8755	9.3974	29.7879	-35.0513	-53.5795	-50.7498	-42.8949	-3.7321	-27.4068	5.9274	39.1158
168.0048	-2.7360	-4.2437	7.2553	30.7463	-13.8244	-17.6615	-10.0309	2.3662	-8.7805	-31.3033	-35.0057	1.1759	-11.7275	-8.9628	-2.5793	28.2454
176.0051	-1.2496	8.8189	18.0809	34.5128	4.8473	-8.0175	-16.1903	2.4126	7.9904	-9.0910	4.6458	16.6753	-4.4825	11.1008	-4.5095	4.5873
