Time	Fz	Fpz	C3	C4	T5	T4	O1	O2	F7	F8	F3	F4	T3	T6	P3	P4
0.0000	244.0811	-6.2482	-5.6446	77.9971	-32.2136	94.0385	20.1765	21.1882	126.1119	18.4772	-613.0658	116.2300	40.6478	7.2230	0.4479	70.0733
8.0000	8.2591	-4.6202	-4.6988	-28.9962	-120.7233	-19.7950	-4.4243	2.5196	-20.8864	3.9513	-29.3411	4.8936	-16.9134	0.1697	-6.0033	-13.8321
16.0001	5.8064	-4.5383	-4.6183	-30.4029	-114.1351	-18.9957	-4.6972	2.1500	-14.0264	3.6983	-18.3761	4.5620	-15.4687	-0.2570	-6.1638	-8.0784
24.0001	9.4010	-4.2250	-4.2986	-31.4983	-110.6865	-19.2288	-2.7471	2.1777	-11.4735	3.9217	-10.9693	5.3971	-11.1453	0.0193	-4.7895	-8.5418
32.0001	5.0260	-4.0490	-4.1276	-31.6134	-108.9872	-18.1074	-2.7036	2.1011	-10.3479	3.3715	-4.9159	4.1212	-12.1862	-0.2804	-4.6869	-2.1718
40.0002	4.7130	-3.6767	-3.7477	-23.4975	-106.3382	-15.2401	-2.8426	2.1790	-4.8239	2.9385	-4.4140	4.0692	-13.6941	-0.1259	-4.5053	-0.6757
48.0002	3.8313	-3.2362	-3.3031	-15.4327	-100.2004	-14.6386	-2.3926	1.8802	-11.9336	2.8508	-7.7890	2.4222	-9.4587	0.3252	-3.7303	-3.7176
56.0002	1.7109	-3.0253	-3.0862	-6.2048	-84.2661	-15.8721	-2.5191	1.6177	-3.2719	2.6261	-16.3316	1.9864	-6.9867	0.3590	-3.1021	-0.7033
64.0003	5.1146	-2.3592	-2.3952	5.4422	-53.9115	-16.0152	-1.4207	1.6467	19.6648	2.2735	-8.2171	3.4001	-5.4737	0.8582	-1.4692	2.1999
72.0003	1.7765	-2.1285	-2.1722	10.3293	-55.8526	-16.7144	-1.8465	1.2034	22.5831	2.0202	3.9981	1.6798	-4.5657	0.8877	-1.3705	1.1188
80.0003	1.2550	-1.9915	-2.0397	16.1921	-69.5929	-16.0110	-1.3864	1.3040	26.8450	1.9343	-3.6057	1.9734	-4.5451	0.8685	-0.8471	0.9203
88.0004	2.1160	-1.7049	-1.7372	26.7731	-47.1895	-16.3235	-1.3946	1.4259	24.1164	1.8635	-3.7782	0.8197	-2.6717	1.7267	-0.3755	1.9041
96.0004	0.0932	-1.6186	-1.6415	30.5672	-19.6564	-17.2865	-3.1368	0.9188	19.6241	1.6702	-1.1249	-1.0491	-2.3458	1.9820	-1.1346	-0.9808
104.0004	2.2176	-0.9738	-0.9876	28.4139	-14.0099	-14.3400	-2.1145	0.5026	33.0692	1.2348	6.0846	0.5849	-2.0100	1.5320	-0.1689	-4.7650
112.0005	-0.7177	-0.6754	-0.7005	26.4518	-24.6171	-12.8568	-2.8935	-0.3675	29.7081	0.9784	12.4077	-0.7357	-1.2577	1.0518	-0.5349	-13.6358
120.0005	-1.0519	-0.7298	-0.7534	20.3677	-18.8255	-12.0195	-3.6692	-0.7691	20.8268	0.9896	1.1926	-0.8273	-1.0687	0.6699	-1.1675	-19.3695
128.0005	1.5839	-0.6322	-0.6343	21.9704	7.5782	-10.7598	-2.6939	-0.2273	23.7947	0.9149	-0.1836	0.1479	0.3171	1.0328	-0.5770	-8.6352
136.0006	-0.2858	-0.6562	-0.6592	27.9774	5.5889	-10.0866	-2.8665	-0.0409	29.0664	0.7508	0.5108	-0.1267	0.1674	1.0633	-0.6170	-1.3929
