Time	Fz	Fpz	C3	C4	T5	T4	O1	O2	F7	F8	F3	F4	T3	T6	P3	P4
0.0000	-0.1340	-12.7162	8.7972	34.3223	-35.1666	-24.5167	10.4519	59.4797	-8.8693	-7.3958	-9.1441	10.6595	9.7773	-7.1925	-9.0061	42.1237
8.0001	17.0286	19.2895	-1.7448	12.1740	-4.5483	1.2351	14.6553	42.1996	20.2758	11.5126	17.7470	25.2459	19.4186	0.8917	9.1701	22.7102
16.0002	17.8020	25.6001	-5.2215	12.9848	2.5368	7.9645	21.4021	52.6303	29.8732	19.1760	17.5725	29.2840	22.9718	1.7184	3.4243	24.1385
24.0003	16.1704	21.4216	-7.0992	2.5645	-6.1355	-5.7652	16.2385	51.1721	26.2258	14.9070	15.3824	29.5902	21.0399	-4.9771	-3.8804	22.0112
32.0004	13.4284	13.6425	-3.1707	4.4597	-3.3792	-9.2080	17.2740	63.8893	16.9057	8.8612	9.6749	27.6513	22.8368	-5.7258	0.9853	24.6686
40.0005	23.7897	27.9189	10.1490	24.0245	11.6894	12.8169	27.6437	78.1128	30.4357	22.4262	20.4478	32.6114	23.8807	8.8825	-0.9846	26.3019
48.0005	30.6907	35.3131	17.4036	25.3314	16.9400	19.6924	30.6352	81.3616	35.5418	27.5221	27.7046	35.9820	24.6418	14.9243	-0.5962	26.5869
56.0006	21.8975	22.2258	2.5826	7.6375	5.2575	1.0826	26.9277	80.1830	23.7144	15.4502	16.7282	35.7454	30.3461	0.8666	12.4092	30.1746
64.0007	10.5224	6.5333	-11.8465	-8.9463	-18.7492	-17.4786	17.8996	72.4609	10.9828	2.8746	4.3395	32.2758	29.2877	-13.2458	12.2417	29.1215
72.0008	-0.6062	-7.6874	-16.1884	-20.0358	-26.0969	-26.7841	9.9562	64.5059	-5.6091	-10.5536	-6.2176	22.0413	22.6144	-19.7175	2.9361	23.1248
80.0009	-8.5683	-11.6899	-20.3877	-15.3111	-12.0487	-17.4559	11.8292	61.5734	-12.5981	-16.2788	-10.5421	13.1515	18.7262	-17.8985	-0.2658	16.2603
88.0010	-3.2427	-1.8905	-6.4285	4.7629	7.9311	8.4010	19.6253	62.4472	-4.1050	-5.3835	-3.7778	9.9171	13.0210	-1.6231	-3.8191	8.9542
96.0011	-1.1087	-3.3612	4.0267	7.3077	12.0060	10.8700	21.9656	61.8462	-5.6668	-2.6000	-6.3269	7.8896	11.9557	3.2929	1.9281	11.0560
104.0012	4.0370	2.4261	6.1024	11.0478	12.3284	18.3588	26.8311	63.8529	-1.4940	1.3561	-1.3373	11.8245	16.6451	7.9622	11.4306	19.1087
112.0013	12.5893	12.7827	12.5261	14.9303	9.9012	25.3137	24.2440	58.1788	8.1882	8.8434	10.3553	15.7193	13.6541	14.2245	5.0769	14.9242
120.0014	-10.7167	-20.8391	-13.1305	-20.2708	-26.5238	-22.9815	-0.8063	36.4246	-17.7268	-16.3818	-17.0638	5.9178	9.8186	-17.5908	3.1582	7.2543
128.0014	-23.0433	-34.2902	-23.6009	-25.7573	-30.6400	-30.9765	-3.9294	32.0782	-27.9346	-24.7279	-31.4529	-1.1426	8.6962	-26.0679	4.8309	5.1107
136.0015	-4.4796	-7.7044	-0.1760	-1.2797	-7.1420	0.0372	8.6005	33.2530	-6.0516	-3.9019	-8.2094	3.2772	2.4460	-2.3323	-6.9397	1.2370
144.0016	-5.1023	-11.4666	-6.2449	-10.6639	-24.8626	-18.3948	-0.7036	22.2133	-9.6142	-10.0984	-7.3486	4.8299	1.8885	-11.4872	-8.2387	3.6254
152.0017	-2.7431	-7.7296	-5.5277	-4.1993	-20.3125	-18.2267	-2.1311	23.8124	-5.6148	-7.8128	-3.8576	6.3547	3.3335	-10.7381	-9.6965	5.5018
160.0018	-1.1168	-3.8691	-2.9232	-3.4679	-15.5441	-19.0881	-2.3130	21.8844	-2.7324	-6.0934	-0.3931	5.7948	-0.2326	-9.8199	-20.3253	2.1353
