Time	Fz	Fpz	C3	C4	T5	T4	O1	O2	F7	F8	F3	F4	T3	T6	P3	P4
0.0000	15.4912	7.2027	14.7954	3.6186	6.7850	6.0795	26.6104	15.0006	2.6889	12.9282	5.8946	0.6142	-1.4758	16.3439	13.0447	16.0856
8.0004	-5.0217	-0.7966	43.6988	-3.8736	-8.8975	-6.1160	10.2214	7.0914	0.4874	-5.6663	-4.0822	8.2967	1.3894	-3.8385	-1.9535	2.9668
16.0008	-1.4712	3.1332	47.6965	1.1746	-2.0981	-1.5742	-4.4261	2.7616	-0.4779	-12.7979	-3.9341	10.8195	-0.3813	2.6270	1.8014	6.4020
24.0012	-0.7735	2.8836	41.6888	-0.9796	-2.4379	-0.7561	-7.8910	3.4990	-1.2480	-12.1489	-4.6737	8.1991	-0.1527	5.4761	-0.2565	6.2984
32.0015	-10.1139	-1.2432	32.7551	-6.5817	-7.6865	0.6506	-12.1524	-0.0454	-7.5468	-24.6667	-14.8475	-2.6533	2.4809	-3.6729	-10.3106	-5.8482
40.0019	-13.3385	-3.2505	31.5042	-1.2822	-6.0178	-8.0230	-16.2856	-11.3189	-8.4829	-27.6563	-18.1849	-4.3511	2.4106	-10.0569	-10.0988	-4.8302
48.0023	-9.7645	-0.4233	34.1251	3.5193	-4.1170	-4.1278	-11.1078	-2.8146	-2.5799	-13.6146	-11.9442	2.3884	1.3170	-3.9077	-9.0483	4.2976
56.0027	-10.7936	2.6239	36.3059	4.2601	-5.3871	10.7003	-18.9183	-1.1606	-4.9914	-17.6240	-14.5727	-2.5858	2.6580	-4.0367	-19.4033	-5.4866
64.0031	-14.3733	-0.6454	34.0623	5.1607	-6.7952	-0.3724	-11.8613	-7.2477	-4.8282	-19.8203	-15.1457	-0.1523	2.9294	-4.9414	-17.9203	-5.9555
72.0035	-18.9710	0.0278	31.7125	9.7194	-4.8528	4.7902	11.1124	7.7527	0.4357	-9.4904	-14.3156	4.2991	0.7114	1.6133	-9.1082	5.7408
80.0038	-13.6325	3.2885	32.9212	13.3605	-3.1228	10.1116	3.4000	8.8274	0.8633	-8.8566	-12.1046	5.7435	-0.0533	5.0218	-5.8832	10.2763
88.0042	-17.4638	-5.2179	28.7937	3.0406	-9.7791	-16.3363	-15.6360	-15.7193	-3.8173	-20.9047	-15.4664	4.2715	1.3108	-2.2100	-9.8494	0.3497
96.0046	-24.1784	-3.6395	33.7837	5.0967	-9.1184	-2.6776	-7.6342	-8.5135	-7.1693	-23.6978	-21.9142	-7.4668	2.0725	-9.0450	-17.1810	-13.3123
104.0050	-18.5300	5.8011	38.6371	15.6203	-3.5893	24.7375	5.0042	7.0564	2.8529	-2.5789	-10.9805	3.0586	-1.8682	2.4881	-8.5988	-2.5018
112.0054	-22.1132	0.9354	25.7677	9.7551	-8.6323	14.6904	-6.5783	-17.1891	4.8955	-2.7166	-10.6332	10.0023	-2.3305	5.1711	-9.6175	-0.1850
120.0058	-17.6491	2.4132	27.1639	16.3780	-3.9855	10.8242	-7.1902	-11.4882	-3.8745	-18.3865	-15.8782	-1.2013	3.3304	-0.5205	-25.5653	-11.1756
128.0062	-3.7557	8.8571	35.6445	24.2994	9.1303	8.9413	20.3578	19.9615	5.6695	0.8974	2.1419	15.2693	0.6557	17.3005	-11.9469	5.2777
136.0065	-2.7113	6.3476	31.4885	16.4009	9.9843	2.1468	23.1722	4.1019	7.3103	4.3894	3.7822	17.1161	-2.5779	19.9549	1.5776	9.4621
144.0069	-8.0471	3.7144	28.2521	11.2406	1.4810	4.9909	-0.5750	-12.5136	-1.4152	-13.9242	-8.3308	4.3647	-1.4006	9.9773	-1.4609	-0.5280
152.0073	-13.3786	-3.4082	16.6533	-1.0768	-15.0653	-4.2574	-8.5150	-11.4792	-0.4288	-14.8639	-8.0921	10.1217	-1.0119	7.1552	3.0920	2.3475
160.0077	-12.2485	-8.4129	9.9207	-5.3024	-22.2239	-13.8034	1.2453	-5.4302	-10.7096	-30.4281	-16.8370	-5.2723	6.3723	-15.8370	-6.3340	-6.6588
168.0081	-9.1758	-2.8178	15.7441	0.1693	-8.1458	-2.1206	11.7595	15.6749	-10.3497	-27.4460	-17.3694	-8.7068	5.8736	-11.1811	-7.8206	-0.7526
